symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-08-13 00:00:00+00:00,460.04,464.17,455.71,457.72,52520516,113.1344771,114.1501397,112.06963,112.5639355,210082064,0,1
AAPL,2020-08-14 00:00:00+00:00,459.63,460,452.18,459.315,41391302,113.0336486,113.1246402,111.2015213,112.9561829,165565208,0,1
AAPL,2020-08-17 00:00:00+00:00,458.43,464.35,455.8501,464.25,29431414,112.7385409,114.1944058,112.1040838,114.1698135,117725656,0,1
AAPL,2020-08-18 00:00:00+00:00,462.25,464,456.03,457.41,26408385,113.6779673,114.1083327,112.1483254,112.4876993,105633540,0,1
AAPL,2020-08-19 00:00:00+00:00,462.83,468.65,462.44,463.933,36384502,113.8206027,115.2518753,113.7246926,114.0918559,145538008,0,1
AAPL,2020-08-20 00:00:00+00:00,473.1,473.568,462.9335,463,31726797,116.3462332,116.4613252,113.8460557,113.8624096,126907188,0,1
AAPL,2020-08-21 00:00:00+00:00,497.48,499.472,477,477.05,84513660,122.3418392,122.831718,117.3053334,117.3176296,338054640,0,1
AAPL,2020-08-24 00:00:00+00:00,503.43,515.14,495.745,514.79,86484442,123.8050818,126.6848416,121.9151625,126.5987685,345937768,0,1
AAPL,2020-08-25 00:00:00+00:00,499.3,500.7172,492.21,498.79,52873947,122.7894192,123.1379415,121.0458243,122.6639985,211495788,0,1
AAPL,2020-08-26 00:00:00+00:00,506.09,507.97,500.33,504.7165,40755567,124.4592373,124.9215728,123.0427201,124.1214619,163022268,0,1
AAPL,2020-08-27 00:00:00+00:00,500.04,509.94,495.33,508.57,38888096,122.9714024,125.4060414,121.8131044,125.0691267,155552384,0,1
AAPL,2020-08-28 00:00:00+00:00,499.23,505.77,498.31,504.05,46907479,122.7722046,124.3805419,122.5459554,123.9575541,187629916,0,1
AAPL,2020-08-31 00:00:00+00:00,129.04,131,126,127.58,223505733,126.9356832,128.8637206,123.945258,125.4994922,223505733,0,4
AAPL,2020-09-01 00:00:00+00:00,134.18,134.8,130.53,132.76,152470142,131.9918628,132.6017522,128.4013851,130.5950194,152470142,0,1
AAPL,2020-09-02 00:00:00+00:00,131.4,137.98,127,137.59,200118991,129.2571976,135.7298944,124.9289505,135.3462543,200118991,0,1
AAPL,2020-09-03 00:00:00+00:00,120.88,128.84,120.5,126.91,257599640,118.9087522,126.7389447,118.5349491,124.8404182,257599640,0,1
AAPL,2020-09-04 00:00:00+00:00,120.96,123.7,110.89,120.07,332607163,118.9874476,121.6827652,109.0816639,118.1119613,332607163,0,1
